fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,alkalinity,e330.level,effervescence.index,consumable,quality
6,0.495,0.27,5,0.157,17,129,0.99396,3.03,0.36,9.3,49.7,0.27,502.7060039,4,0
8.1,0.25,0.34,10.1,0.05,30,121,0.99724,3.17,0.49,10.1,48.3,0.34,3981.685637,4,1
8.2,0.25,0.46,3.75,0.05,14,102,0.99524,3.28,0.58,9.7,47.2,0.46,10742.7495,4,0
6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5,45.1,0.29,8343.913467,4,1
6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,45.8,0.26,2132.816615,4,0
6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,44.1,0.24,1423.705563,4,0
7.6,0.32,0.35,1.6,0.092,24,138,0.99438,3.19,0.44,9.8,48.1,0.35,12055.04703,4,0
7.4,0.33,0.44,7.6,0.05,40,227,0.99679,3.12,0.52,9,48.8,0.44,2582.351587,4,0
7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,48.5,0.3,10849.15273,4,1
7.4,0.34,0.3,14.9,0.037,70,169,0.99698,3.25,0.37,10.4,47.5,0.3,12481.60771,4,1
6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,43.2,0.29,6080.707065,4,1
6.3,0.1,0.24,6,0.039,25,107,0.99511,3.59,0.49,10.5,44.1,0.24,14681.28496,4,1
6.2,0.45,0.73,7.2,0.099,47,202,0.99582,3.21,0.43,9.2,47.9,0.73,14304.16011,4,0
6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,47.2,0.18,13971.105,4,0
7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,49.5,0.37,9176.546859,4,0
7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,47,0.3,74.37973448,4,1
7,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2,46.2,0.29,12520.89923,4,1
7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,47,0.3,10598.49097,4,1
7,0.22,0.29,8.9,0.05,24,90,0.99556,3.29,0.46,9.8,47.1,0.29,2629.858961,4,1
9.4,0.23,0.56,16.45,0.063,52.5,282,1.00098,3.1,0.51,9.3,49,0.56,4897.940162,4,0
6.4,0.27,0.19,2,0.084,21,191,0.99516,3.49,0.63,9.6,45.1,0.19,1617.816587,4,0
6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,45.1,0.19,10542.60107,4,0
7,0.23,0.42,5.1,0.042,37,144,0.99518,3.5,0.59,10.2,45,0.42,10148.89785,4,1
6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,47.6,0.28,7201.129593,4,1
6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,47.2,0.29,609.9522455,4,1
6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,47.6,0.28,4733.746467,4,1
7.6,0.2,0.68,12.9,0.042,56,160,0.99841,3.05,0.41,8.7,49.5,0.68,7780.92144,4,0
6.9,0.3,0.29,1.3,0.053,24,189,0.99362,3.29,0.54,9.9,47.1,0.29,12587.94898,4,0
6.9,0.3,0.3,1.3,0.053,24,186,0.99361,3.29,0.54,9.9,47.1,0.3,3845.021875,4,0
7.6,0.21,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3,49.4,0.35,3075.313543,4,0
6.8,0.46,0.26,2.7,0.042,28,83,0.99114,3.38,0.51,12,46.2,0.26,11040.34766,4,1
7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,45.7,0.26,4819.386515,4,1
6.5,0.24,0.29,8.2,0.043,32,156,0.99453,3.13,0.7,10.1,48.7,0.29,12291.99472,4,1
6.4,0.17,0.34,1.5,0.091,42,135,0.9938,3.25,0.49,9.6,47.5,0.34,2567.596501,4,1
6.4,0.17,0.34,1.5,0.093,43,136,0.9938,3.25,0.49,9.6,47.5,0.34,1485.646837,4,1
6.3,0.695,0.55,12.9,0.056,58,252,0.99806,3.29,0.49,8.7,47.1,0.55,7289.889409,4,0
7,0.27,0.29,3.9,0.059,28,199,0.9961,3.54,0.59,10.3,44.6,0.29,14902.71981,4,0
8.4,0.3,0.25,17.75,0.047,25,218,1.00016,2.98,0.66,9.1,50.2,0.25,10101.04529,4,0
6.5,0.19,0.27,4.9,0.037,13,101,0.9916,3.17,0.41,11.8,48.3,0.27,2283.385982,4,1
8,0.36,0.39,1.6,0.024,26,93,0.99116,3.15,0.49,11.9,48.5,0.39,10271.80609,4,1
6.1,0.16,0.24,1.4,0.046,17,77,0.99319,3.66,0.57,10.3,43.4,0.24,6613.826745,4,1
9.2,0.19,0.42,2,0.047,16,104,0.99517,3.09,0.66,10,49.1,0.42,1587.472412,4,0
9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,49,0.49,9441.405807,4,0
8,0.26,0.28,8.2,0.038,72,202,0.99566,3.12,0.56,10,48.8,0.28,6394.687911,4,1
8.8,0.33,0.36,2.1,0.034,19,125,0.99166,2.96,0.98,12.7,50.4,0.36,2246.564322,4,1
9.8,0.16,0.46,1.8,0.046,23,130,0.99587,3.04,0.67,9.6,49.6,0.46,4092.89054,4,0
6.6,0.23,0.18,8.5,0.044,59,188,0.99558,3.16,0.49,9.5,48.4,0.18,2380.411994,4,0
7.9,0.44,0.26,4.45,0.033,23,100,0.99117,3.17,0.52,12.7,48.3,0.26,7993.329233,4,1
7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11,46.6,0.27,596.4170241,4,1
7.5,0.705,0.1,13,0.044,44,214,0.99741,3.1,0.5,9.1,49,0.1,3724.50892,4,0
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,46.5,0.28,4344.309443,4,0
7,0.16,0.26,7.3,0.047,30,220,0.99622,3.38,0.58,10.1,46.2,0.26,14719.16909,4,1
8,0.27,0.25,19.1,0.045,50,208,1.00051,3.05,0.5,9.2,49.5,0.25,382.2655123,4,1
6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4,45.3,0.17,14207.04203,4,0
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,46.5,0.28,9824.431277,4,0
6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,44.7,0.18,8164.170452,4,0
8.2,0.24,0.3,2.3,0.05,23,106,0.99397,2.98,0.5,10,50.2,0.3,4446.540391,4,0
7,0.16,0.26,6.85,0.047,30,220,0.99622,3.38,0.58,10.1,46.2,0.26,4359.847289,4,1
7.3,0.815,0.09,11.4,0.044,45,204,0.99713,3.15,0.46,9,48.5,0.09,7691.344643,4,0
6.3,0.41,0.16,0.9,0.032,25,98,0.99274,3.16,0.42,9.5,48.4,0.16,7194.534552,4,0
6.1,0.36,0.41,19.35,0.07,67,207,1.00118,3.39,0.53,9.1,46.1,0.41,10663.25426,4,0
8.1,0.4,0.32,7.9,0.031,23,118,0.99176,3.05,0.46,13.3,49.5,0.32,12056.5225,4,1
6.8,0.26,0.43,11.75,0.045,53,198,0.9969,3.26,0.55,9.5,47.4,0.43,90.24588204,4,0
6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,44.4,0.18,8233.595273,4,0
7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,46.4,0.29,7419.959693,4,1
6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,44.4,0.18,12712.47217,4,0
7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,46.4,0.29,3361.98812,4,1
7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,47.3,0.26,8868.991883,4,1
8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,48.6,0.28,13292.63093,4,1
7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,47.3,0.26,6903.55388,4,1
8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,48.6,0.28,8301.609737,4,1
6.4,0.28,0.17,8.3,0.042,61,195,0.99577,3.22,0.46,9.4,47.8,0.17,10888.70067,4,0
6.3,0.29,0.14,7.05,0.045,50,177,0.99564,3.23,0.42,9,47.7,0.14,14629.13149,4,0
6.4,0.27,0.17,8.4,0.044,60,198,0.99578,3.21,0.47,9.4,47.9,0.17,14370.29603,4,0
7.4,0.35,0.2,13.9,0.054,63,229,0.99888,3.11,0.5,8.9,48.9,0.2,12959.77006,4,1
8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,49.8,0.27,173.7475356,4,1
6.4,0.35,0.35,5.6,0.034,9,148,0.99441,3.17,0.5,9.8,48.3,0.35,11197.36636,4,0
6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,48.3,0.28,407.2877827,4,0
8,0.26,0.28,4.8,0.05,34,150,0.99437,3.13,0.5,10,48.7,0.28,11929.81639,4,1
6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,48.3,0.28,792.427781,4,0
7.3,0.27,0.37,9.7,0.042,36,130,0.9979,3.48,0.75,9.9,45.2,0.37,3838.397474,4,1
6.8,0.46,0.26,6.3,0.147,49,159,0.99434,3.14,0.47,10,48.6,0.26,476.2124218,4,0
7.2,0.2,0.28,1.6,0.028,13,168,0.99203,3.17,1.06,11.5,48.3,0.28,11644.25386,4,1
7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,50,0.32,9151.586104,4,0
6.6,0.32,0.33,2.5,0.052,40,219.5,0.99316,3.15,0.6,10,48.5,0.33,14192.72619,4,0
7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,50,0.32,9813.61205,4,0
6.6,0.34,0.34,2.6,0.051,40.5,210,0.99314,3.15,0.61,10,48.5,0.34,6629.190688,4,0
6.6,0.32,0.33,2.5,0.052,40,210,0.99316,3.15,0.6,10,48.5,0.33,11165.01396,4,0
6.5,0.27,0.26,8.2,0.042,21,133,0.99612,3.43,0.64,9.8,45.7,0.26,5039.632797,4,1
6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,46.4,0.27,11830.83674,4,1
6.7,0.27,0.26,2.3,0.043,61,181,0.99394,3.45,0.63,10.6,45.5,0.26,11933.90413,4,1
6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,47.2,0.15,6097.255057,4,0
6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,47.2,0.15,10604.88568,4,0
7.3,0.19,0.27,1.6,0.027,35,136,0.99248,3.38,0.54,11,46.2,0.27,12223.75349,4,1
6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,44.7,0.26,12064.94809,4,1
7.1,0.29,0.3,16,0.036,58,201,0.99954,3.3,0.67,9,47,0.3,10033.11084,4,0
7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,49.3,0.33,14351.31947,4,1
8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,48.1,0.36,14923.65112,4,1
8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,48.1,0.36,1710.308673,4,1
7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,49.3,0.33,14808.87029,4,1
6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,49.2,0.24,7269.704245,4,0
6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,49.2,0.24,11328.39751,4,0
8.2,0.26,0.33,2.6,0.053,11,71,0.99402,2.89,0.49,9.5,51.1,0.33,3338.895445,4,0
8.3,0.25,0.33,2.5,0.053,12,72,0.99404,2.89,0.48,9.5,51.1,0.33,14720.78657,4,0
7,0.26,0.26,10.8,0.039,37,184,0.99787,3.47,0.58,10.3,45.3,0.26,12534.01395,4,1
6,0.26,0.15,1.2,0.053,35,124,0.99347,3.08,0.46,8.8,49.2,0.15,654.2761254,4,0
7.5,0.28,0.78,12.1,0.041,53,161,0.99838,2.98,0.44,8.7,50.2,0.78,11404.22315,4,0
7.5,0.27,0.79,11.95,0.04,51,159,0.99839,2.98,0.44,8.7,50.2,0.79,3399.566225,4,0
7,0.28,0.32,1.7,0.038,27,128,0.99375,3.2,0.62,10.2,48,0.32,12575.628,4,1
5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,47.5,0.34,11744.03894,4,1
6.8,0.34,0.1,1.4,0.049,29,118,0.9936,3.21,0.41,9.5,47.9,0.1,7368.439683,4,0
7.6,0.25,0.34,1.3,0.056,34,176,0.99434,3.1,0.51,9.5,49,0.34,6906.623929,4,0
5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,44.6,0.4,2165.178569,4,1
8.8,0.24,0.23,10.3,0.032,12,97,0.99571,3.13,0.4,10.7,48.7,0.23,10255.58455,4,1
6,0.29,0.21,15.55,0.043,20,142,0.99658,3.11,0.54,10.1,48.9,0.21,4093.909938,4,1
6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,46.8,0.31,6368.602033,4,1
7.4,0.56,0.09,1.5,0.071,19,117,0.99496,3.22,0.53,9.8,47.8,0.09,5968.691014,4,0
6.8,0.29,0.49,1.4,0.142,52,148,0.9937,3.08,0.49,9,49.2,0.49,4838.288584,4,1
6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,46.8,0.31,7324.372461,4,1
6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,48.1,0.37,4321.143515,4,1
6.6,0.24,0.3,13,0.052,18,143,0.99825,3.37,0.49,9.4,46.3,0.3,11266.34129,4,1
6.8,0.32,0.3,1,0.049,22,113,0.99289,3.24,0.61,10.2,47.6,0.3,6680.375941,4,0
6.4,0.37,0.37,4.85,0.041,39.5,216.5,0.99432,3.1,0.5,9.8,49,0.37,5996.237113,4,1
6.2,0.26,0.37,7.1,0.047,54,201,0.99523,3.19,0.48,9.5,48.1,0.37,3381.152188,4,1
6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,48.1,0.37,1087.579726,4,1
6.4,0.3,0.16,7.5,0.05,55,191,0.9959,3.17,0.49,9,48.3,0.16,13680.84806,4,0
8,0.28,0.32,7.6,0.045,61,204,0.99543,3.1,0.55,10.1,49,0.32,6982.900824,4,1
6.7,0.24,0.32,10.3,0.079,37,122,0.99662,3.02,0.45,8.8,49.8,0.32,3908.762977,4,0
7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,50.3,0.27,14925.56047,4,1
7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,50.3,0.27,8463.335688,4,1
6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,48.1,0.24,13581.00809,4,1
7.7,0.39,0.49,7.7,0.036,11,110,0.9966,3.33,0.76,10,46.7,0.49,13955.99075,4,1
6,0.2,0.24,5.3,0.075,49,201,0.99466,3.21,0.43,9.5,47.9,0.24,13446.73527,4,0
6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,48.1,0.24,8506.878535,4,1
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,48.4,0.23,10597.39306,4,0
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,48.4,0.23,10028.51355,4,0
6.3,0.18,0.22,1.5,0.043,45,155,0.99238,3.19,0.48,10.2,48.1,0.22,208.1551948,4,0
8.6,0.23,0.25,11.3,0.031,13,96,0.99645,3.11,0.4,10.8,48.9,0.25,6819.988264,4,0
6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,47.3,0.36,12288.98977,4,0
6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,47.3,0.36,1010.295135,4,0
6.9,0.26,0.31,7,0.039,37,175,0.99376,3.32,0.49,11.4,46.8,0.31,2335.456293,4,1
6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,47.3,0.36,2829.473139,4,0
6.4,0.31,0.4,6.4,0.039,39,191,0.99513,3.14,0.52,9.8,48.6,0.4,7645.305937,4,0
8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,48.3,0.36,5017.734099,4,0
8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,48.3,0.36,13398.67366,4,0
8.5,0.3,0.28,3.1,0.054,54,174,0.99543,3.21,0.43,9.4,47.9,0.28,494.3728698,4,1
7.4,0.4,0.41,14.1,0.053,37,194,0.99886,3.2,0.63,9.4,48,0.41,10584.1073,4,1
6.6,0.32,0.34,7.7,0.044,63,212,0.99526,3.22,0.48,9.7,47.8,0.34,4960.782913,4,1
7.1,0.34,0.31,5.2,0.032,36,140,0.99166,3.35,0.47,12.3,46.5,0.31,10350.9758,4,1
6.6,0.26,0.25,11.6,0.045,45,178,0.99691,3.33,0.43,9.8,46.7,0.25,14087.96229,4,1
8,0.27,0.57,10.4,0.053,18,134,0.99732,3.12,0.68,9,48.8,0.57,10555.76545,4,0
6.2,0.28,0.45,7.5,0.045,46,203,0.99573,3.26,0.46,9.2,47.4,0.45,8192.95736,4,1
6.2,0.3,0.49,11.2,0.058,68,215,0.99656,3.19,0.6,9.4,48.1,0.49,2367.069884,4,1
5.6,0.175,0.29,0.8,0.043,20,67,0.99112,3.28,0.48,9.9,47.2,0.29,6617.156233,4,1
6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,49.3,0.36,11820.27698,4,0
6.9,0.34,0.3,4.7,0.029,34,148,0.99165,3.36,0.49,12.3,46.4,0.3,3830.406384,4,1
7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,49.8,0.3,7733.478524,4,1
7.1,0.32,0.29,4,0.038,33,170,0.99463,3.27,0.64,10.2,47.3,0.29,11468.76244,4,1
7.3,0.51,0.29,11.3,0.034,61,224,0.99683,3.14,0.56,9.5,48.6,0.29,2273.267501,4,1
7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,49.8,0.3,13112.21237,4,1
6.3,0.24,0.55,8.1,0.04,67,216,0.99596,3.24,0.5,9.2,47.6,0.55,5602.053863,4,0
7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7,48.2,0.23,14585.89669,4,0
6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,46.4,0.33,153.3426541,4,1
7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,48.3,0.24,3559.814649,4,1
8.2,0.2,0.38,3.5,0.053,41,174,0.99306,3.22,0.41,11.6,47.8,0.38,2421.027924,4,0
7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7,48.2,0.23,7285.490252,4,0
7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,48.3,0.24,14262.96706,4,1
6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,46.4,0.33,1672.959655,4,1
7.3,0.16,0.35,1.5,0.036,29,108,0.99342,3.27,0.51,10.2,47.3,0.35,13204.58715,4,1
6.4,0.16,0.37,1.5,0.037,27,109,0.99345,3.38,0.5,9.8,46.2,0.37,3729.18914,4,1
6.6,0.42,0.13,12.8,0.044,26,158,0.99772,3.24,0.47,9,47.6,0.13,5478.585465,4,0
5.8,0.3,0.12,1.6,0.036,57,163,0.99239,3.38,0.59,10.5,46.2,0.12,11472.8137,4,1
6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,48.4,0.27,5492.370428,4,0
6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,48.4,0.27,2055.061677,4,0
6.4,0.22,0.3,11.2,0.046,53,149,0.99479,3.21,0.34,10.8,47.9,0.3,4313.027755,4,0
6.8,0.23,0.3,1.7,0.043,19,95,0.99207,3.17,0.46,10.7,48.3,0.3,12369.87255,4,1
9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,49.2,0.34,13884.49035,4,1
6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,48.5,0.25,14266.39727,4,1
5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,47.2,0.14,1124.277627,4,1
5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,47.2,0.14,14595.03176,4,1
6.2,0.27,0.18,1.5,0.028,20,111,0.99228,3.41,0.5,10,45.9,0.18,415.5892105,4,0
9,0.29,0.34,12.1,0.03,34,177,0.99706,3.13,0.47,10.6,48.7,0.34,7156.492783,4,0
9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,49.2,0.34,2239.495859,4,1
8.9,0.27,0.34,10.7,0.029,19.5,166,0.99669,3.13,0.48,10.6,48.7,0.34,3786.694986,4,0
6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,48.5,0.25,10753.13267,4,1
6.9,0.32,0.3,1.8,0.036,28,117,0.99269,3.24,0.48,11,47.6,0.3,9824.701469,4,1
7.2,0.22,0.24,1.4,0.041,17,159,0.99196,3.25,0.53,11.2,47.5,0.24,6781.74606,4,1
6.7,0.5,0.38,7.5,0.046,26,175,0.99662,3.32,0.54,9.6,46.8,0.38,13275.01658,4,0
6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,47.9,0.14,8270.571375,4,0
6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,48,0.42,12709.12146,4,1
7.5,0.2,0.47,16.9,0.052,51,188,0.99944,3.09,0.62,9.3,49.1,0.47,5349.17049,4,0
6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,47.9,0.14,8146.383802,4,0
6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,48,0.42,2455.171605,4,1
6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4,49.3,0.52,8525.178005,4,0
6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,48.7,0.42,7902.418042,4,1
6.4,0.15,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,48.6,0.44,14306.9803,4,1
6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,48.7,0.42,14863.26217,4,1
7.6,0.23,0.64,12.9,0.033,54,170,0.998,3,0.53,8.8,50,0.64,12056.97159,4,0
6.4,0.15,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,48.6,0.44,9265.939977,4,1
6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,48.7,0.42,8493.759182,4,1
5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,48,0.65,4932.31008,4,0
6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,49.4,0.26,3399.62336,4,1
6.9,0.28,0.22,10,0.052,36,131,0.99696,3.08,0.46,9.6,49.2,0.22,11542.31117,4,0
6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,49.4,0.26,11504.41032,4,1
5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,48,0.65,9399.670824,4,0
6.6,0.41,0.16,1.4,0.037,28,160,0.99167,2.95,0.45,10.6,50.5,0.16,2995.97314,4,1
7.3,0.37,0.16,14.9,0.048,59,240,0.99902,3.13,0.45,8.9,48.7,0.16,8476.048594,4,0
6.9,0.21,0.24,1.8,0.021,17,80,0.98992,3.15,0.46,12.3,48.5,0.24,11834.88053,4,1
6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,46.6,0.28,12862.04569,4,0
6.8,0.28,0.36,7,0.043,60,207,0.99556,3.16,0.49,9.6,48.4,0.36,6649.851646,4,1
6.6,0.24,0.24,8.6,0.034,25,135,0.99582,3.33,0.59,10.3,46.7,0.24,7384.447438,4,1
6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,46.6,0.28,423.7659237,4,0
7,0.16,0.32,1.1,0.032,29,80,0.98972,3.23,0.36,12.1,47.7,0.32,13137.59883,4,1
7,0.14,0.28,1.3,0.026,10,56,0.99352,3.46,0.45,9.9,45.4,0.28,9630.761966,4,0
6.3,0.34,0.36,4.9,0.035,31,185,0.9946,3.15,0.49,9.7,48.5,0.36,14697.76722,4,0
6.8,0.26,0.24,1.9,0.043,70,154,0.99273,3.18,0.52,10.5,48.2,0.24,14307.36941,4,0
6.7,0.17,0.42,10.4,0.038,85,182,0.99628,3.04,0.44,8.9,49.6,0.42,13564.37134,4,1
6.5,0.27,0.4,10,0.039,74,227,0.99582,3.18,0.5,9.4,48.2,0.4,1011.177041,4,0
6.7,0.25,0.36,8.6,0.037,63,206,0.99553,3.18,0.5,9.6,48.2,0.36,11419.64647,4,0
5.8,0.3,0.27,1.7,0.014,45,104,0.98914,3.4,0.56,12.6,46,0.27,2687.479386,4,1
6.4,0.28,0.56,1.7,0.156,49,106,0.99354,3.1,0.37,9.2,49,0.56,10184.06033,4,1
7.7,0.3,0.26,18.95,0.053,36,174,0.99976,3.2,0.5,10.4,48,0.26,7497.775248,4,0
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,50,0.3,9930.933702,4,1
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,50,0.3,8205.893716,4,1
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,50,0.3,4919.404953,4,1
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,50,0.3,5231.801126,4,1
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,50,0.3,13516.17963,4,1
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,50,0.3,4105.480228,4,1
5.1,0.14,0.25,0.7,0.039,15,89,0.9919,3.22,0.43,9.2,47.8,0.25,11356.3604,4,1
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,50,0.3,13341.36155,4,1
7.2,0.615,0.1,1.4,0.068,25,154,0.99499,3.2,0.48,9.7,48,0.1,9791.832872,4,0
6.9,0.13,0.28,13.3,0.05,47,132,0.99655,3.34,0.42,10.1,46.6,0.28,4437.035214,4,1
6.7,0.34,0.3,8.5,0.059,24,152,0.99615,3.46,0.64,11,45.4,0.3,2588.910559,4,1
7.3,0.32,0.29,1.5,0.038,32,144,0.99296,3.2,0.55,10.8,48,0.29,14429.82625,4,0
6.3,0.21,0.29,11.7,0.048,49,147,0.99482,3.22,0.38,10.8,47.8,0.29,13858.74414,4,0
5.4,0.5,0.13,5,0.028,12,107,0.99079,3.48,0.88,13.5,45.2,0.13,14544.45999,4,1
8.2,0.52,0.34,1.2,0.042,18,167,0.99366,3.24,0.39,10.6,47.6,0.34,5774.803847,4,0
7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8,47.7,0.31,4679.626995,4,0
6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,48.2,0.34,11488.88337,4,1
